GEO_ID,County,State,FIPS,RUCC,IRR,SVI,TotalPopulation,ZIRR,ZNegMedianIncome,ZNoInternet,ZNoCollege,ZNegMentalHealthProviders,Znonwhite,ZPoverty18-64,ZLackingCompletePlumbing,Z65+,ZLessThanHighSchool,ZNoVehicle,ZHousingcostBurden,ZratioPCP,Zunemployed,Zuninsured,ZLongCommute,Zdrinkingwaterviolations,ZNaturalDisasterRisk,Zfoodinsecurity,HeartDiseaseMortality,PreventableHospitalStays,PoororFairHealth,InfantMortality,PrematureMortality
0500000US21087,Green,KY,21087,8,0.533265885,0.629,11365,0.394339963,1.362330054,0.236114477,0.363898549,-0.184677527,-0.934546434,0.826639274,0.584535445,0.279362093,0.119886338,-0.242003615,-0.404670171,1.011521884,-0.16579921,-0.656133053,0.989903666,-0.744471872,-1.018498547,0.932818501,431.9,2762,0.262,,529.6566723
0500000US54025,Greenbrier,WV,54025,6,0.492525835,0.4537,32435,-0.532767515,0.717692685,-0.126605791,0.737820852,0.227155623,-0.850452594,1.010499586,-0.544529818,0.742551102,0.644050637,0.381544375,-0.173040248,-0.934813319,-0.107382472,-0.67755054,0.522532765,1.342122145,-0.013899257,-0.258552317,424.4,3829,0.222,,596.2407629
0500000US05055,Greene,AR,5055,4,0.472159495,0.6917,46448,-0.996237391,0.025739358,-0.69628673,0.213185313,-0.233642555,-0.635792049,-0.17623515,-0.656909505,-1.057871336,0.036496564,-0.608912045,0.160494796,-0.407854814,-0.508272842,-0.603439378,-0.156477789,-0.744471872,1.292696137,1.017916417,384.1,3516,0.21,6.042296073,539.5393737
0500000US13133,Greene,GA,13133,8,0.508175068,0.5081,20139,-0.176643232,-2.334697173,-0.267074536,1.995732291,0.641263119,1.077067741,-1.663832214,-1.043640649,1.940281101,0.143711988,-0.593455418,0.088389369,-0.500786906,-0.569341465,0.828434448,0.566624359,1.342122145,-0.88660637,-1.081165501,353.6,2552,0.178,,379.1004497
0500000US18055,Greene,IN,18055,6,0.486522435,0.5275,31006,-0.669384841,-0.226158545,0.118136794,-1.364404469,0.517504092,-0.969284502,-0.543955773,-0.380011397,-0.215334355,0.096060689,-0.115779193,-0.381271146,0.141994812,-0.100443293,-0.551735373,1.069268536,-0.744471872,0.23509345,-0.258552317,392,3743,0.176,,481.8844723
0500000US28041,Greene,MS,28041,8,0.526546196,0.7776,13552,0.241422282,0.107010472,1.504420891,-0.653055049,0.60845114,0.334748569,0.592635242,1.02406053,-1.386109297,0.274753063,-0.609797646,-0.040081997,4.132087728,1.439602151,0.20386629,2.101011845,-0.744471872,0.558044387,1.046282389,523.4,3078,0.217,,511.9662497
0500000US37079,Greene,NC,37079,8,0.506404713,0.9863,20211,-0.216930595,0.526897043,0.107567893,-1.067555817,0.595385116,1.540442685,0.325202062,-0.695138192,-0.82490686,0.274753063,-0.535359848,0.853473456,1.464947455,-0.519224293,1.692608319,0.742990737,-0.744471872,1.333373164,0.138571289,402.5,2520,0.216,,445.848057
0500000US42059,Greene,PA,42059,6,0.480866009,0.342,34663,-0.798106224,-0.83181982,-0.685957167,0.752878268,0.199339033,-0.867361185,-0.644243215,-0.373904081,-0.104548102,-1.154785932,-0.346253871,-0.863738382,-0.33094773,1.089763209,-1.081262496,1.333818102,1.342122145,-0.552561698,-0.485480092,457.5,4229,0.168,,501.0092908
0500000US47059,Greene,TN,47059,4,0.440467391,0.615,71405,-1.717443845,0.257383307,0.372565617,0.704479105,0.35691577,-0.739214182,-0.326666314,-0.210800934,0.175334931,-0.630621634,-0.578982245,-0.811914552,-0.448933542,0.047372867,-0.156424079,-0.024203006,-0.744471872,-0.094020673,0.280401148,485.4,3001,0.206,4.80349345,609.40098
0500000US04011,Greenlee,AZ,4011,9,0.585301285,0.3598,9302,1.578491889,-1.5440271,-0.828906217,-0.287133815,0.851840012,0.672250725,-1.128965854,1.461089872,-1.478588766,0.274753063,-1.61203714,-2.194653111,-0.582339673,-0.81944697,-0.349865916,-1.48804394,1.342122145,-1.485668032,-0.996067585,311,1607,0.161,,420.8369532
0500000US45047,Greenwood,SC,45047,4,0.459301177,0.8466,69267,-1.288849786,0.549789116,0.081612082,-0.026371303,-0.99848753,0.83124053,-0.159520577,-0.669772931,-0.380308916,-1.107134632,0.512553906,0.548117128,-0.860807007,-0.181617681,0.336614053,-1.011854721,-0.744471872,1.041238156,-0.996067585,315.3,2921,0.188,8.868393047,556.8508576
0500000US28043,Grenada,MS,28043,7,0.518323622,0.8492,21088,0.054303971,0.774199511,0.452032313,-0.035107612,0.539016957,1.438415201,0.408774931,0.279214971,-0.469693287,-0.28514971,0.653581106,1.032370058,-0.151142442,-0.132625127,0.522363301,-0.809033386,1.342122145,0.310284317,0.904452529,520.1,2880,0.238,,727.6791134
0500000US48185,Grimes,TX,48185,6,0.479789269,0.8676,30754,-0.822609217,-0.849690955,0.085641605,-0.166269612,0.759910322,0.834177418,-0.594099494,-0.28676733,-0.558026094,0.620224987,-1.357233067,-0.09786646,0.28472844,0.457349413,2.052657731,2.189195034,1.342122145,0.888391147,0.393865036,393.2,3028,0.214,,511.0217501
0500000US47061,Grundy,TN,47061,8,0.533244771,0.5192,13783,0.393859491,0.98056857,0.138081958,0.993801261,0.612530279,-0.85737828,0.592635242,0.648858852,-0.059479232,-0.42810361,-0.173865196,-0.614361165,,0.468699484,0.672441887,1.836462278,-0.744471872,-0.71280453,0.592426839,474,3011,0.219,,780.7249633
0500000US35019,Guadalupe,NM,35019,9,0.618634371,0.8791,4310,2.337041624,1.442154457,1.032634902,0.067954437,-7.019729198,1.873215592,0.743066406,0.533775369,0.011702712,1.275430359,-1.16554118,-1.003377224,-0.325500566,1.270290783,-0.915320688,-0.817851705,-0.744471872,-1.648376138,-0.173454401,295.6,2919,0.226,,606.89421
0500000US39059,Guernsey,OH,39059,6,0.476583369,0.5352,38098,-0.895564791,0.113988724,-0.39552869,0.164151138,-0.384972628,-0.904456356,-0.243093445,-0.187129358,-0.17653112,0.119886338,0.597211603,0.024885684,-0.126066641,0.770215156,-0.469480926,-0.720850198,-0.744471872,-0.615426194,0.450596979,484.5,3337,0.194,10.95360825,562.9328327
0500000US12045,Gulf,FL,12045,8,0.53402429,0.7082,15314,0.411598724,-0.873604236,-0.538682049,-0.454702349,0.236454254,0.096553505,-0.57738492,-0.184522632,0.405472397,0.096060689,-1.368311502,1.120022886,-0.392974221,-0.947118926,0.657186112,0.346166387,1.342122145,1.199015713,-0.740773839,336.9,3283,0.167,,548.4654627
