,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
257,0500000US37049,Craven,NC,37049,100874.0,31.292387853246918,4,0.4525941275954146,0.8126,515.34578776,8.2269802763,2674.0,344.2,0.154
76,0500000US42009,Bedford,PA,42009,47418.0,31.303435857594046,8,0.5006542820849302,0.1868,435.96200341,6.3713592233,2908.0,343.9,0.168
489,0500000US29087,Holt,MO,29087,4262.0,31.318634102081216,8,0.5774100964407533,0.1705,334.15266626,,4382.0,320.9,0.174
104,0500000US16021,Boundary,ID,16021,13345.0,31.35905737195921,9,0.5849431954589928,0.5037,369.49839444,,958.0,256.4,0.165
580,0500000US53039,Klickitat,WA,53039,23271.0,31.40226637478158,9,0.5566527927517031,0.6414,352.69500868,,1108.0,253.0,0.157
74,0500000US22011,Beauregard,LA,22011,36570.0,31.40768215469732,6,0.5187812913569861,0.5498,540.57705908,,3696.0,493.9,0.187
1190,0500000US50025,Windham,VT,50025,45842.0,31.41123195371791,7,0.5040938476615255,0.3185,363.35031485,,1789.0,285.4,0.123
516,0500000US55051,Iron,WI,55051,6224.0,31.41719931673539,9,0.5908357938029041,0.0926,350.82791504,,1420.0,357.0,0.137
319,0500000US41019,Douglas,OR,41019,112297.0,31.426163178951928,4,0.5152854589502607,0.6487,506.01962763,5.9371204966,1314.0,310.1,0.159
51,0500000US37011,Avery,NC,37011,17571.0,31.459760184371856,9,0.5168942381229306,0.7191,426.03009487,,1805.0,355.2,0.156
687,0500000US26101,Manistee,MI,26101,25287.0,31.47151844775358,6,0.5280399644000034,0.3583,430.98047377,,2151.0,342.7,0.155
382,0500000US42057,Fulton,PA,42057,14533.0,31.47726009633397,8,0.5379408026992529,0.1184,432.5784711,,2306.0,365.2,0.166
275,0500000US16037,Custer,ID,16037,4506.0,31.57809251908575,8,0.6515672259699439,0.3713,453.15957695,,1333.0,263.2,0.161
398,0500000US13123,Gilmer,GA,13123,32407.0,31.578760683783504,6,0.517188193892673,0.545,467.79865249,,1682.0,403.1,0.173
703,0500000US01095,Marshall,AL,1095,99423.0,31.64249846428201,4,0.4567240551052376,0.6201,596.93746492,5.1494345719,2877.0,504.6,0.199
702,0500000US26103,Marquette,MI,26103,66661.0,31.64750985743103,5,0.5300168838047701,0.2291,372.37463208,,1924.0,330.2,0.144
107,0500000US21021,Boyle,KY,21021,30904.0,31.666779000238943,7,0.4783383857685335,0.5304,513.0269657,,3489.0,359.5,0.2
996,0500000US20175,Seward,KS,20175,21358.0,31.690897242462874,7,0.5522363233174159,0.8578,382.67179503,,3547.0,362.5,0.229
504,0500000US26063,Huron,MI,26063,31248.0,31.721691378739784,9,0.5175732449028465,0.2046,403.83097204,,2047.0,429.6,0.161
994,0500000US47155,Sevier,TN,47155,98789.0,31.755839092118833,4,0.4643102313948121,0.566,523.4182054,5.2688462578,2581.0,413.2,0.188
1026,0500000US37167,Stanly,NC,37167,64153.0,31.796968469410587,6,0.4654248705342632,0.6631,511.10928578,8.5720259252,4408.0,392.4,0.157
145,0500000US24011,Caroline,MD,24011,33433.0,31.822620685678597,6,0.4954467530044478,0.7579,444.79969145,,1824.0,383.5,0.171
415,0500000US53025,Grant,WA,53025,101311.0,31.857314599730408,5,0.508201153151068,0.931,387.43314314,4.6484027297,1577.0,293.4,0.195
464,0500000US54033,Harrison,WV,54033,64915.0,31.930391083705178,5,0.4628385905085894,0.4703,554.25191171,5.5577610163,3916.0,406.9,0.194
246,0500000US33007,Coos,NH,33007,31504.0,31.956825495181164,7,0.5398830726300413,0.4862,423.67909899,,2798.0,368.5,0.149
387,0500000US21079,Garrard,KY,21079,17589.0,31.96080748285625,8,0.5215083229457941,0.3312,504.44935712,,3740.0,375.7,0.209
157,0500000US18017,Cass,IN,18017,37540.0,32.02506687550242,4,0.4865901540995694,0.5587,449.78139678,10.147601476,3217.0,335.0,0.197
991,0500000US36099,Seneca,NY,36099,32882.0,32.02699587728688,6,0.4922716249215824,0.5737,372.0304564,,3436.0,285.7,0.154
109,0500000US42015,Bradford,PA,42015,59866.0,32.07972679731521,6,0.4937788724749127,0.3754,379.45436682,,2715.0,350.6,0.165
803,0500000US20133,Neosho,KS,20133,15606.0,32.114270608774696,7,0.5412819471013388,0.6911,500.93786913,,4236.0,428.0,0.153
855,0500000US37139,Pasquotank,NC,37139,40938.0,32.12720867460372,4,0.4758036642242164,0.7626,495.37295485,7.2289156627,3323.0,443.3,0.154
728,0500000US47107,McMinn,TN,47107,54719.0,32.14752988310453,4,0.4791324799771481,0.5705,644.46290739,6.8226120858,2146.0,535.4,0.198
468,0500000US15001,Hawaii,HI,15001,206315.0,32.1726894105566,5,0.5159919318187183,0.636,346.92794563,5.721344516,1701.0,273.2,0.145
271,0500000US47035,Cumberland,TN,47035,63522.0,32.21864644362324,4,0.4980818073203161,0.3506,541.35050399,5.9507708953,2429.0,354.0,0.196
577,0500000US53037,Kittitas,WA,53037,45189.0,32.2580794293925,4,0.5398017520669811,0.3366,283.89454535,,1305.0,258.0,0.15
1153,0500000US19185,Wayne,IA,19185,6467.0,32.26125394614454,9,0.5780460880546694,0.4168,399.82585305,,3716.0,411.1,0.149
1040,0500000US36105,Sullivan,NY,36105,79658.0,32.295907695529614,6,0.4832481921996394,0.8654,436.48848032,4.3196544276,2971.0,348.3,0.169
1076,0500000US42117,Tioga,PA,42117,41106.0,32.33089545907179,8,0.5128507374929533,0.2975,389.18442592,,2198.0,321.9,0.163
156,0500000US17017,Cass,IL,17017,12657.0,32.358373300387186,6,0.5338148872536763,0.4998,427.07954993,,3974.0,371.5,0.181
